num_passengers,trip_type,flight_hour,flight_day,booking_origin,wants_extra_baggage,wants_preferred_seat,flight_duration,booking_complete
2,RoundTrip,7,Sat,New Zealand,1,0,5.52,0
1,RoundTrip,3,Sat,New Zealand,0,0,5.52,0
2,RoundTrip,17,Wed,India,1,1,5.52,0
1,RoundTrip,4,Sat,New Zealand,0,0,5.52,0
2,RoundTrip,15,Wed,India,1,0,5.52,0
1,RoundTrip,20,Thu,New Zealand,1,0,5.52,0
3,RoundTrip,6,Thu,New Zealand,1,0,5.52,0
2,RoundTrip,14,Mon,India,1,0,5.52,0
1,RoundTrip,4,Mon,New Zealand,0,0,5.52,0
1,RoundTrip,12,Sun,India,0,0,5.52,0
2,RoundTrip,14,Tue,United Kingdom,1,1,5.52,0
1,RoundTrip,2,Sat,New Zealand,1,1,5.52,0
4,RoundTrip,19,Mon,New Zealand,1,0,5.52,0
1,RoundTrip,14,Fri,India,0,0,5.52,0
1,RoundTrip,4,Tue,New Zealand,1,1,5.52,0
1,RoundTrip,14,Thu,India,1,0,5.52,0
1,RoundTrip,6,Sun,India,0,0,5.52,0
1,RoundTrip,10,Sat,New Zealand,0,0,5.52,0
1,RoundTrip,8,Sun,New Zealand,1,0,5.52,0
1,RoundTrip,3,Sun,China,0,0,5.07,0
2,CircleTrip,23,Wed,New Zealand,1,0,7.57,0
1,RoundTrip,9,Wed,South Korea,1,0,6.62,0
2,RoundTrip,8,Mon,New Zealand,1,0,6.62,0
2,RoundTrip,13,Fri,South Korea,1,0,6.62,0
1,RoundTrip,6,Thu,New Zealand,1,0,6.62,0
1,RoundTrip,7,Thu,South Korea,1,0,6.62,0
1,RoundTrip,6,Fri,South Korea,0,0,6.62,0
2,RoundTrip,7,Mon,New Zealand,1,0,6.62,0
1,RoundTrip,11,Tue,South Korea,1,0,6.62,0
1,RoundTrip,2,Tue,New Zealand,1,0,6.62,0
1,RoundTrip,23,Wed,New Zealand,1,1,6.62,0
2,RoundTrip,4,Thu,South Korea,1,0,6.62,0
1,RoundTrip,0,Fri,New Zealand,0,0,6.62,0
1,RoundTrip,4,Mon,New Zealand,1,0,6.62,0
1,RoundTrip,7,Fri,New Zealand,1,1,6.62,0
1,RoundTrip,4,Wed,New Zealand,0,0,6.62,0
1,RoundTrip,14,Sat,South Korea,1,0,6.62,0
6,RoundTrip,3,Fri,South Korea,1,1,6.62,0
2,RoundTrip,7,Thu,New Zealand,1,0,6.62,0
1,RoundTrip,1,Mon,South Korea,1,0,6.62,0
1,RoundTrip,7,Mon,South Korea,1,0,6.62,0
1,RoundTrip,7,Thu,South Korea,1,1,6.62,0
2,RoundTrip,8,Mon,South Korea,1,0,6.62,0
1,RoundTrip,7,Wed,New Zealand,1,0,6.62,0
1,RoundTrip,14,Thu,South Korea,1,0,6.62,0
1,RoundTrip,2,Sun,New Zealand,0,0,6.62,0
